Time,Concentration
2018-07-19 08:32:36,3473.0
2018-07-19 08:32:37,3539.0
2018-07-19 08:32:38,3521.0
2018-07-19 08:32:39,3480.0
2018-07-19 08:32:40,3373.0
2018-07-19 08:32:41,3530.0
2018-07-19 08:32:42,3497.0
2018-07-19 08:32:43,3379.0
2018-07-19 08:32:44,3482.0
2018-07-19 08:32:45,3441.0
2018-07-19 08:32:46,3444.0
2018-07-19 08:32:47,3341.0
2018-07-19 08:32:48,3353.0
2018-07-19 08:32:49,3412.0
2018-07-19 08:32:50,3393.0
2018-07-19 08:32:51,3460.0
2018-07-19 08:32:52,3481.0
2018-07-19 08:32:53,3253.0
2018-07-19 08:32:54,3437.0
2018-07-19 08:32:55,3507.0
2018-07-19 08:32:56,3437.0
2018-07-19 08:32:57,3633.0
2018-07-19 08:32:58,3568.0
2018-07-19 08:32:59,3528.0
2018-07-19 08:33:00,3529.0
2018-07-19 08:33:01,3473.0
2018-07-19 08:33:02,3568.0
2018-07-19 08:33:03,3479.0
2018-07-19 08:33:04,3564.0
2018-07-19 08:33:05,3531.0
2018-07-19 08:33:06,3409.0
2018-07-19 08:33:07,3723.0
2018-07-19 08:33:08,3830.0
2018-07-19 08:33:09,3666.0
2018-07-19 08:33:10,3700.0
2018-07-19 08:33:11,3732.0
2018-07-19 08:33:12,3642.0
2018-07-19 08:33:13,3617.0
2018-07-19 08:33:14,3600.0
2018-07-19 08:33:15,3622.0
2018-07-19 08:33:16,3542.0
2018-07-19 08:33:17,3693.0
2018-07-19 08:33:18,3746.0
2018-07-19 08:33:19,3675.0
2018-07-19 08:33:20,3577.0
2018-07-19 08:33:21,3595.0
2018-07-19 08:33:22,3558.0
2018-07-19 08:33:23,3698.0
2018-07-19 08:33:24,3534.0
2018-07-19 08:33:25,3470.0
2018-07-19 08:33:26,3334.0
2018-07-19 08:33:27,3334.0
2018-07-19 08:33:28,3279.0
2018-07-19 08:33:29,3378.0
2018-07-19 08:33:30,3540.0
2018-07-19 08:33:31,3487.0
2018-07-19 08:33:32,3356.0
2018-07-19 08:33:33,3295.0
2018-07-19 08:33:34,3547.0
2018-07-19 08:33:35,4378.0
2018-07-19 08:33:36,4969.0
2018-07-19 08:33:37,4807.0
2018-07-19 08:33:38,4883.0
2018-07-19 08:33:39,5238.0
2018-07-19 08:33:40,5218.0
2018-07-19 08:33:41,5305.0
2018-07-19 08:33:42,5212.0
2018-07-19 08:33:43,5206.0
2018-07-19 08:33:44,5074.0
2018-07-19 08:33:45,5070.0
2018-07-19 08:33:46,5149.0
2018-07-19 08:33:47,5051.0
2018-07-19 08:33:48,5103.0
2018-07-19 08:33:49,5107.0
2018-07-19 08:33:50,5287.0
2018-07-19 08:33:51,5349.0
2018-07-19 08:33:52,5327.0
2018-07-19 08:33:53,5171.0
2018-07-19 08:33:54,5415.0
2018-07-19 08:33:55,5435.0
2018-07-19 08:33:56,5423.0
2018-07-19 08:33:57,5349.0
2018-07-19 08:33:58,5607.0
2018-07-19 08:33:59,5577.0
2018-07-19 08:34:00,5397.0
2018-07-19 08:34:01,5478.0
2018-07-19 08:34:02,5550.0
2018-07-19 08:34:03,5359.0
2018-07-19 08:34:04,5398.0
2018-07-19 08:34:05,5463.0
2018-07-19 08:34:06,5485.0
2018-07-19 08:34:07,5386.0
2018-07-19 08:34:08,5397.0
2018-07-19 08:34:09,5394.0
2018-07-19 08:34:10,5570.0
2018-07-19 08:34:11,5387.0
2018-07-19 08:34:12,5696.0
2018-07-19 08:34:13,5400.0
2018-07-19 08:34:14,5404.0
2018-07-19 08:34:15,5533.0
2018-07-19 08:34:16,5329.0
2018-07-19 08:34:17,5333.0
2018-07-19 08:34:18,5345.0
2018-07-19 08:34:19,5335.0
2018-07-19 08:34:20,5436.0
2018-07-19 08:34:21,5397.0
2018-07-19 08:34:22,5504.0
2018-07-19 08:34:23,5475.0
2018-07-19 08:34:24,5415.0
2018-07-19 08:34:25,5506.0
2018-07-19 08:34:26,5612.0
2018-07-19 08:34:27,5652.0
2018-07-19 08:34:28,5673.0
2018-07-19 08:34:29,5688.0
2018-07-19 08:34:30,5480.0
2018-07-19 08:34:31,5321.0
2018-07-19 08:34:32,5388.0
2018-07-19 08:34:33,5301.0
2018-07-19 08:34:34,5377.0
2018-07-19 08:34:35,5313.0
2018-07-19 08:34:36,5316.0
2018-07-19 08:34:37,5232.0
2018-07-19 08:34:38,5167.0
2018-07-19 08:34:39,5262.0
2018-07-19 08:34:40,5224.0
2018-07-19 08:34:41,5096.0
2018-07-19 08:34:42,5148.0
2018-07-19 08:34:43,5222.0
2018-07-19 08:34:44,5259.0
2018-07-19 08:34:45,5161.0
2018-07-19 08:34:46,5285.0
2018-07-19 08:34:47,5270.0
2018-07-19 08:34:48,5219.0
2018-07-19 08:34:49,5155.0
2018-07-19 08:34:50,5085.0
2018-07-19 08:34:51,5072.0
2018-07-19 08:34:52,5069.0
2018-07-19 08:34:53,4965.0
2018-07-19 08:34:54,5060.0
2018-07-19 08:34:55,4863.0
2018-07-19 08:34:56,5009.0
2018-07-19 08:34:57,5085.0
2018-07-19 08:34:58,5122.0
2018-07-19 08:34:59,5025.0
2018-07-19 08:35:00,4903.0
2018-07-19 08:35:01,4885.0
2018-07-19 08:35:02,4844.0
2018-07-19 08:35:03,4780.0
2018-07-19 08:35:04,4792.0
2018-07-19 08:35:05,4683.0
2018-07-19 08:35:06,4856.0
2018-07-19 08:35:07,5046.0
2018-07-19 08:35:08,5053.0
2018-07-19 08:35:09,5320.0
2018-07-19 08:35:10,5038.0
2018-07-19 08:35:11,4981.0
2018-07-19 08:35:12,5133.0
2018-07-19 08:35:13,4975.0
2018-07-19 08:35:14,4953.0
2018-07-19 08:35:15,4976.0
2018-07-19 08:35:16,5157.0
2018-07-19 08:35:17,5130.0
2018-07-19 08:35:18,5282.0
2018-07-19 08:35:19,5140.0
2018-07-19 08:35:20,5115.0
2018-07-19 08:35:21,5060.0
2018-07-19 08:35:22,5227.0
2018-07-19 08:35:23,5478.0
2018-07-19 08:35:24,5549.0
2018-07-19 08:35:25,5439.0
2018-07-19 08:35:26,5598.0
2018-07-19 08:35:27,5546.0
2018-07-19 08:35:28,5546.0
2018-07-19 08:35:29,5539.0
2018-07-19 08:35:30,5437.0
2018-07-19 08:35:31,5459.0
2018-07-19 08:35:32,5456.0
2018-07-19 08:35:33,5694.0
2018-07-19 08:35:34,5691.0
2018-07-19 08:35:35,5798.0
2018-07-19 08:35:36,5838.0
2018-07-19 08:35:37,5554.0
2018-07-19 08:35:38,5719.0
2018-07-19 08:35:39,5604.0
2018-07-19 08:35:40,5645.0
2018-07-19 08:35:41,5579.0
2018-07-19 08:35:42,5710.0
2018-07-19 08:35:43,5732.0
2018-07-19 08:35:44,5691.0
2018-07-19 08:35:45,5582.0
2018-07-19 08:35:46,5640.0
2018-07-19 08:35:47,5540.0
2018-07-19 08:35:48,5748.0
2018-07-19 08:35:49,6228.0
2018-07-19 08:35:50,6582.0
2018-07-19 08:35:51,7122.0
2018-07-19 08:35:52,8183.0
2018-07-19 08:35:53,8734.0
2018-07-19 08:35:54,8276.0
2018-07-19 08:35:55,6989.0
2018-07-19 08:35:56,9822.0
2018-07-19 08:35:57,42377.0
2018-07-19 08:35:58,74354.0
2018-07-19 08:35:59,47128.0
2018-07-19 08:36:00,39282.0
2018-07-19 08:36:01,37315.0
2018-07-19 08:36:02,16949.0
2018-07-19 08:36:03,8805.0
2018-07-19 08:36:04,6976.0
2018-07-19 08:36:05,6313.0
2018-07-19 08:36:06,6296.0
2018-07-19 08:36:07,6294.0
2018-07-19 08:36:08,6108.0
2018-07-19 08:36:09,6042.0
2018-07-19 08:36:10,6149.0
2018-07-19 08:36:11,5943.0
2018-07-19 08:36:12,6167.0
2018-07-19 08:36:13,5762.0
2018-07-19 08:36:14,5689.0
2018-07-19 08:36:15,5762.0
2018-07-19 08:36:16,5579.0
2018-07-19 08:36:17,5644.0
2018-07-19 08:36:18,5863.0
2018-07-19 08:36:19,6078.0
2018-07-19 08:36:20,6332.0
2018-07-19 08:36:21,6251.0
2018-07-19 08:36:22,6426.0
2018-07-19 08:36:23,6171.0
2018-07-19 08:36:24,6287.0
2018-07-19 08:36:25,6340.0
2018-07-19 08:36:26,6392.0
2018-07-19 08:36:27,6559.0
2018-07-19 08:36:28,6522.0
2018-07-19 08:36:29,6267.0
2018-07-19 08:36:30,5527.0
2018-07-19 08:36:31,5416.0
2018-07-19 08:36:32,5419.0
2018-07-19 08:36:33,5061.0
2018-07-19 08:36:34,5394.0
2018-07-19 08:36:35,5456.0
2018-07-19 08:36:36,5621.0
2018-07-19 08:36:37,5717.0
2018-07-19 08:36:38,5784.0
2018-07-19 08:36:39,5855.0
2018-07-19 08:36:40,5823.0
2018-07-19 08:36:41,5227.0
2018-07-19 08:36:42,5026.0
2018-07-19 08:36:43,5053.0
2018-07-19 08:36:44,4908.0
2018-07-19 08:36:45,4883.0
2018-07-19 08:36:46,4986.0
2018-07-19 08:36:47,5145.0
2018-07-19 08:36:48,5144.0
2018-07-19 08:36:49,5020.0
2018-07-19 08:36:50,5002.0
2018-07-19 08:36:51,5002.0
2018-07-19 08:36:52,5126.0
2018-07-19 08:36:53,5190.0
2018-07-19 08:36:54,5186.0
2018-07-19 08:36:55,5391.0
2018-07-19 08:36:56,5394.0
2018-07-19 08:36:57,5217.0
2018-07-19 08:36:58,5186.0
2018-07-19 08:36:59,5028.0
2018-07-19 08:37:00,5140.0
2018-07-19 08:37:01,5371.0
2018-07-19 08:37:02,5402.0
2018-07-19 08:37:03,5544.0
2018-07-19 08:37:04,5596.0
2018-07-19 08:37:05,5692.0
2018-07-19 08:37:06,6101.0
2018-07-19 08:37:07,6056.0
2018-07-19 08:37:08,5923.0
2018-07-19 08:37:09,5888.0
2018-07-19 08:37:10,5955.0
2018-07-19 08:37:11,5919.0
2018-07-19 08:37:12,5875.0
2018-07-19 08:37:13,5967.0
2018-07-19 08:37:14,5994.0
2018-07-19 08:37:15,6222.0
2018-07-19 08:37:16,6172.0
2018-07-19 08:37:17,5881.0
2018-07-19 08:37:18,6145.0
2018-07-19 08:37:19,6018.0
2018-07-19 08:37:20,5565.0
2018-07-19 08:37:21,5442.0
2018-07-19 08:37:22,5282.0
2018-07-19 08:37:23,5165.0
2018-07-19 08:37:24,5265.0
2018-07-19 08:37:25,5311.0
2018-07-19 08:37:26,5341.0
2018-07-19 08:37:27,5287.0
2018-07-19 08:37:28,5302.0
2018-07-19 08:37:29,5241.0
2018-07-19 08:37:30,5220.0
2018-07-19 08:37:31,5251.0
2018-07-19 08:37:32,5278.0
2018-07-19 08:37:33,5275.0
2018-07-19 08:37:34,5147.0
2018-07-19 08:37:35,5228.0
2018-07-19 08:37:36,5111.0
2018-07-19 08:37:37,5240.0
2018-07-19 08:37:38,5281.0
2018-07-19 08:37:39,5221.0
2018-07-19 08:37:40,5213.0
2018-07-19 08:37:41,5240.0
2018-07-19 08:37:42,5244.0
2018-07-19 08:37:43,5360.0
2018-07-19 08:37:44,5478.0
2018-07-19 08:37:45,5349.0
2018-07-19 08:37:46,5411.0
2018-07-19 08:37:47,5364.0
2018-07-19 08:37:48,5261.0
