Time,Concentration
10:32:36,3473
10:32:37,3539
10:32:38,3521
10:32:39,3480
10:32:40,3373
10:32:41,3530
10:32:42,3497
10:32:43,3379
10:32:44,3482
10:32:45,3441
10:32:46,3444
10:32:47,3341
10:32:48,3353
10:32:49,3412
10:32:50,3393
10:32:51,3460
10:32:52,3481
10:32:53,3253
10:32:54,3437
10:32:55,3507
10:32:56,3437
10:32:57,3633
10:32:58,3568
10:32:59,3528
10:33:00,3529
10:33:01,3473
10:33:02,3568
10:33:03,3479
10:33:04,3564
10:33:05,3531
10:33:06,3409
10:33:07,3723
10:33:08,3830
10:33:09,3666
10:33:10,3700
10:33:11,3732
10:33:12,3642
10:33:13,3617
10:33:14,3600
10:33:15,3622
10:33:16,3542
10:33:17,3693
10:33:18,3746
10:33:19,3675
10:33:20,3577
10:33:21,3595
10:33:22,3558
10:33:23,3698
10:33:24,3534
10:33:25,3470
10:33:26,3334
10:33:27,3334
10:33:28,3279
10:33:29,3378
10:33:30,3540
10:33:31,3487
10:33:32,3356
10:33:33,3295
10:33:34,3547
10:33:35,4378
10:33:36,4969
10:33:37,4807
10:33:38,4883
10:33:39,5238
10:33:40,5218
10:33:41,5305
10:33:42,5212
10:33:43,5206
10:33:44,5074
10:33:45,5070
10:33:46,5149
10:33:47,5051
10:33:48,5103
10:33:49,5107
10:33:50,5287
10:33:51,5349
10:33:52,5327
10:33:53,5171
10:33:54,5415
10:33:55,5435
10:33:56,5423
10:33:57,5349
10:33:58,5607
10:33:59,5577
10:34:00,5397
10:34:01,5478
10:34:02,5550
10:34:03,5359
10:34:04,5398
10:34:05,5463
10:34:06,5485
10:34:07,5386
10:34:08,5397
10:34:09,5394
10:34:10,5570
10:34:11,5387
10:34:12,5696
10:34:13,5400
10:34:14,5404
10:34:15,5533
10:34:16,5329
10:34:17,5333
10:34:18,5345
10:34:19,5335
10:34:20,5436
10:34:21,5397
10:34:22,5504
10:34:23,5475
10:34:24,5415
10:34:25,5506
10:34:26,5612
10:34:27,5652
10:34:28,5673
10:34:29,5688
10:34:30,5480
10:34:31,5321
10:34:32,5388
10:34:33,5301
10:34:34,5377
10:34:35,5313
10:34:36,5316
10:34:37,5232
10:34:38,5167
10:34:39,5262
10:34:40,5224
10:34:41,5096
10:34:42,5148
10:34:43,5222
10:34:44,5259
10:34:45,5161
10:34:46,5285
10:34:47,5270
10:34:48,5219
10:34:49,5155
10:34:50,5085
10:34:51,5072
10:34:52,5069
10:34:53,4965
10:34:54,5060
10:34:55,4863
10:34:56,5009
10:34:57,5085
10:34:58,5122
10:34:59,5025
10:35:00,4903
10:35:01,4885
10:35:02,4844
10:35:03,4780
10:35:04,4792
10:35:05,4683
10:35:06,4856
10:35:07,5046
10:35:08,5053
10:35:09,5320
10:35:10,5038
10:35:11,4981
10:35:12,5133
10:35:13,4975
10:35:14,4953
10:35:15,4976
10:35:16,5157
10:35:17,5130
10:35:18,5282
10:35:19,5140
10:35:20,5115
10:35:21,5060
10:35:22,5227
10:35:23,5478
10:35:24,5549
10:35:25,5439
10:35:26,5598
10:35:27,5546
10:35:28,5546
10:35:29,5539
10:35:30,5437
10:35:31,5459
10:35:32,5456
10:35:33,5694
10:35:34,5691
10:35:35,5798
10:35:36,5838
10:35:37,5554
10:35:38,5719
10:35:39,5604
10:35:40,5645
10:35:41,5579
10:35:42,5710
10:35:43,5732
10:35:44,5691
10:35:45,5582
10:35:46,5640
10:35:47,5540
10:35:48,5748
10:35:49,6228
10:35:50,6582
10:35:51,7122
10:35:52,8183
10:35:53,8734
10:35:54,8276
10:35:55,6989
10:35:56,9822
10:35:57,42377
10:35:58,74354
10:35:59,47128
10:36:00,39282
10:36:01,37315
10:36:02,16949
10:36:03,8805
10:36:04,6976
10:36:05,6313
10:36:06,6296
10:36:07,6294
10:36:08,6108
10:36:09,6042
10:36:10,6149
10:36:11,5943
10:36:12,6167
10:36:13,5762
10:36:14,5689
10:36:15,5762
10:36:16,5579
10:36:17,5644
10:36:18,5863
10:36:19,6078
10:36:20,6332
10:36:21,6251
10:36:22,6426
10:36:23,6171
10:36:24,6287
10:36:25,6340
10:36:26,6392
10:36:27,6559
10:36:28,6522
10:36:29,6267
10:36:30,5527
10:36:31,5416
10:36:32,5419
10:36:33,5061
10:36:34,5394
10:36:35,5456
10:36:36,5621
10:36:37,5717
10:36:38,5784
10:36:39,5855
10:36:40,5823
10:36:41,5227
10:36:42,5026
10:36:43,5053
10:36:44,4908
10:36:45,4883
10:36:46,4986
10:36:47,5145
10:36:48,5144
10:36:49,5020
10:36:50,5002
10:36:51,5002
10:36:52,5126
10:36:53,5190
10:36:54,5186
10:36:55,5391
10:36:56,5394
10:36:57,5217
10:36:58,5186
10:36:59,5028
10:37:00,5140
10:37:01,5371
10:37:02,5402
10:37:03,5544
10:37:04,5596
10:37:05,5692
10:37:06,6101
10:37:07,6056
10:37:08,5923
10:37:09,5888
10:37:10,5955
10:37:11,5919
10:37:12,5875
10:37:13,5967
10:37:14,5994
10:37:15,6222
10:37:16,6172
10:37:17,5881
10:37:18,6145
10:37:19,6018
10:37:20,5565
10:37:21,5442
10:37:22,5282
10:37:23,5165
10:37:24,5265
10:37:25,5311
10:37:26,5341
10:37:27,5287
10:37:28,5302
10:37:29,5241
10:37:30,5220
10:37:31,5251
10:37:32,5278
10:37:33,5275
10:37:34,5147
10:37:35,5228
10:37:36,5111
10:37:37,5240
10:37:38,5281
10:37:39,5221
10:37:40,5213
10:37:41,5240
10:37:42,5244
10:37:43,5360
10:37:44,5478
10:37:45,5349
10:37:46,5411
10:37:47,5364
10:37:48,5261
10:37:49,5425
10:37:50,5679
10:37:51,5876
10:37:52,5882
10:37:53,5559
10:37:54,5644
10:37:55,5534
10:37:56,5461
10:37:57,5450
10:37:58,5416
10:37:59,5526
10:38:00,5561
10:38:01,5991
10:38:02,6095
10:38:03,6002
10:38:04,6055
10:38:05,5910
10:38:06,5846
10:38:07,5858
10:38:08,5804
10:38:09,5655
10:38:10,5604
10:38:11,5781
10:38:12,5855
10:38:13,5767
10:38:14,5698
10:38:15,5812
10:38:16,5608
10:38:17,5605
10:38:18,5593
10:38:19,5621
10:38:20,5751
10:38:21,5691
10:38:22,5492
10:38:23,5381
10:38:24,5317
10:38:25,5678
10:38:26,7144
10:38:27,7529
10:38:28,7654
10:38:29,8256
10:38:30,8009
10:38:31,6719
10:38:32,6578
10:38:33,6971
