distance,Concentrat,strassenkl,dtvw_kfz_m,dtvw_lkw_m,traff_mean
50.000000000000000,6881.500000,III,13533.333333,630.000000,18573.333333
150.000000000000000,7169.500000,III,14250.000000,662.500000,19550.000000
250.000000000000000,6451.500000,III,15000.000000,650.000000,20200.000000
350.000000000000000,6901.500000,III,15000.000000,650.000000,20200.000000
450.000000000000000,5906.000000,III,15150.000000,520.000000,19310.000000
550.000000000000000,6313.500000,V,15150.000000,520.000000,19310.000000
650.000000000000000,5491.500000,V,,,
750.000000000000000,5023.000000,V,,,
850.000000000000000,5381.000000,V,,,
950.000000000000000,5943.000000,V,,,
1050.000000000000000,5311.000000,V,,,
1150.000000000000000,5242.000000,V,,,
1250.000000000000000,5478.000000,V,,,
1350.000000000000000,5846.000000,V,,,
1450.000000000000000,5766.000000,V,,,
1550.000000000000000,6447.500000,V,,,
1650.000000000000000,6679.000000,V,,,
1750.000000000000000,5820.500000,V,,,
1850.000000000000000,7924.000000,V,,,
1950.000000000000000,5321.000000,V,,,
2050.000000000000000,5366.000000,III,,,
2150.000000000000000,5218.500000,,,,
2250.000000000000000,5254.000000,,,,
2350.000000000000000,5080.000000,,,,
2450.000000000000000,4544.000000,V,,,
2550.000000000000000,4661.000000,,,,
2650.000000000000000,4751.000000,,,,
2750.000000000000000,4734.500000,,,,
2850.000000000000000,4782.000000,,,,
2950.000000000000000,4965.000000,,,,
3050.000000000000000,5044.500000,,,,
3150.000000000000000,5245.000000,,,,
3350.000000000000000,4303.500000,,,,
3450.000000000000000,4209.000000,,,,
3550.000000000000000,4279.000000,,,,
3650.000000000000000,4272.000000,,,,
3750.000000000000000,3952.000000,V,,,
3850.000000000000000,3727.000000,,,,
3950.000000000000000,3744.000000,,,,
4050.000000000000000,3662.000000,V,,,
4150.000000000000000,3680.000000,,,,
4250.000000000000000,3594.000000,,,,
4350.000000000000000,3438.000000,,,,
4450.000000000000000,3626.000000,V,,,
4550.000000000000000,3443.000000,,,,
4650.000000000000000,3448.000000,,,,
4750.000000000000000,2388.000000,,,,
4850.000000000000000,3545.000000,,,,
4950.000000000000000,3686.000000,,,,
5050.000000000000000,3931.500000,,,,
5150.000000000000000,3921.500000,,,,
5250.000000000000000,3727.000000,III,,,
5350.000000000000000,3774.000000,V,,,
5450.000000000000000,3629.500000,V,,,
5550.000000000000000,3500.000000,V,,,
5650.000000000000000,3662.000000,V,,,
5750.000000000000000,3766.000000,V,,,
5850.000000000000000,3623.000000,V,,,
5950.000000000000000,3729.500000,V,,,
6050.000000000000000,4280.500000,V,,,
6150.000000000000000,4034.000000,V,,,
6250.000000000000000,3754.500000,V,,,
6350.000000000000000,3971.000000,IV,,,
6450.000000000000000,4692.500000,IV,,,
6550.000000000000000,4675.500000,IV,,,
6650.000000000000000,4649.500000,IV,,,
6750.000000000000000,3720.500000,IV,,,
6850.000000000000000,3927.000000,IV,15400.000000,405.000000,18640.000000
6950.000000000000000,4072.000000,III,15166.666667,403.333333,18393.333333
7050.000000000000000,4504.000000,III,15100.000000,410.000000,18380.000000
7150.000000000000000,4736.000000,III,11400.000000,316.666667,13933.333333
7250.000000000000000,3924.500000,III,11400.000000,316.666667,13933.333333
7350.000000000000000,3211.000000,III,9900.000000,250.000000,11900.000000
7450.000000000000000,3312.500000,III,9900.000000,250.000000,11900.000000
7550.000000000000000,3986.000000,V,9900.000000,250.000000,11900.000000
7650.000000000000000,3849.000000,V,,,
7750.000000000000000,3237.000000,V,,,
7850.000000000000000,3403.000000,V,,,
7950.000000000000000,3669.500000,V,,,
8050.000000000000000,3877.000000,V,,,
8150.000000000000000,3912.000000,V,,,
8250.000000000000000,7417.000000,V,,,
8350.000000000000000,4070.500000,V,,,
8450.000000000000000,3504.000000,V,,,
8550.000000000000000,3377.000000,V,,,
8650.000000000000000,3462.500000,V,,,
8750.000000000000000,3417.000000,III,,,
8850.000000000000000,3720.500000,III,,,
8950.000000000000000,3751.000000,III,,,
9050.000000000000000,3702.500000,III,,,
9150.000000000000000,3789.000000,III,,,
9250.000000000000000,3957.000000,III,,,
9350.000000000000000,3875.000000,III,,,
9450.000000000000000,3775.500000,III,,,
9550.000000000000000,3790.500000,III,7850.000000,255.000000,9890.000000
9650.000000000000000,3732.000000,III,7850.000000,255.000000,9890.000000
9750.000000000000000,3851.000000,III,7850.000000,255.000000,9890.000000
9850.000000000000000,3785.000000,III,39333.333333,2606.666667,60186.666667
9950.000000000000000,4583.000000,I,39800.000000,2946.000000,63368.000000
10050.000000000000000,14867.000000,II,39333.333333,2606.666667,60186.666667
10150.000000000000000,12659.000000,II,39200.000000,3640.000000,68320.000000
10250.000000000000000,4756.000000,II,,,
10350.000000000000000,10998.000000,II,,,
10450.000000000000000,7146.500000,II,,,
10550.000000000000000,9787.500000,II,,,
10650.000000000000000,8375.000000,II,,,
10750.000000000000000,5447.000000,II,,,
10850.000000000000000,6769.000000,,,,
10950.000000000000000,8706.000000,II,,,
11050.000000000000000,12065.000000,II,35100.000000,3300.000000,61500.000000
11150.000000000000000,13534.000000,II,37050.000000,3160.000000,62330.000000
11250.000000000000000,13399.500000,II,37050.000000,3160.000000,62330.000000
11350.000000000000000,12068.500000,II,44725.000000,3557.500000,73185.000000
11450.000000000000000,11252.000000,I,52400.000000,3955.000000,84040.000000
11550.000000000000000,9486.000000,I,52400.000000,3955.000000,84040.000000
11650.000000000000000,12594.000000,I,52400.000000,3955.000000,84040.000000
11750.000000000000000,12227.000000,I,52400.000000,3955.000000,84040.000000
11850.000000000000000,12236.000000,I,52400.000000,3955.000000,84040.000000
11950.000000000000000,16205.500000,I,52400.000000,3955.000000,84040.000000
12050.000000000000000,18839.000000,I,52400.000000,3955.000000,84040.000000
12150.000000000000000,17749.000000,I,50100.000000,3886.666667,81193.333333
12250.000000000000000,14550.000000,II,49475.000000,3767.500000,79615.000000
12350.000000000000000,13829.500000,II,48900.000000,3643.333333,78046.666667
12450.000000000000000,17703.000000,II,46550.000000,3580.000000,75190.000000
12550.000000000000000,11333.000000,II,46550.000000,3580.000000,75190.000000
12650.000000000000000,9241.000000,II,46550.000000,3580.000000,75190.000000
12750.000000000000000,9423.000000,II,37925.000000,2292.500000,56265.000000
12850.000000000000000,8196.000000,II,37925.000000,2292.500000,56265.000000
12950.000000000000000,15279.000000,II,37925.000000,2292.500000,56265.000000
13050.000000000000000,14812.000000,II,46550.000000,3580.000000,75190.000000
13150.000000000000000,11525.000000,II,46550.000000,3580.000000,75190.000000
13250.000000000000000,11310.000000,II,46550.000000,3580.000000,75190.000000
13350.000000000000000,12774.000000,II,46550.000000,3580.000000,75190.000000
13450.000000000000000,15279.000000,II,46550.000000,3580.000000,75190.000000
13550.000000000000000,13932.000000,II,37925.000000,2292.500000,56265.000000
13650.000000000000000,9185.000000,II,31100.000000,1130.000000,40140.000000
13750.000000000000000,12618.000000,II,31100.000000,1130.000000,40140.000000
13850.000000000000000,14531.000000,II,31100.000000,1130.000000,40140.000000
13950.000000000000000,21757.000000,II,29800.000000,1085.000000,38480.000000
14050.000000000000000,38823.000000,II,29800.000000,1085.000000,38480.000000
14150.000000000000000,14995.000000,IV,29800.000000,1085.000000,38480.000000
14250.000000000000000,11511.000000,IV,,,
14350.000000000000000,10008.000000,IV,,,
14450.000000000000000,9610.000000,IV,,,
14550.000000000000000,8870.000000,IV,,,
14650.000000000000000,9009.000000,IV,,,
14750.000000000000000,9577.000000,IV,,,
14850.000000000000000,11210.000000,IV,,,
14950.000000000000000,10084.000000,IV,,,
15050.000000000000000,9978.000000,IV,,,
15150.000000000000000,9065.000000,IV,,,
15250.000000000000000,9219.000000,IV,,,
15350.000000000000000,9031.000000,IV,,,
15450.000000000000000,8110.000000,IV,,,
15550.000000000000000,7258.000000,IV,,,
15650.000000000000000,8553.000000,IV,,,
15750.000000000000000,11108.000000,IV,,,
15850.000000000000000,9481.000000,IV,,,
15950.000000000000000,8274.000000,IV,,,
16050.000000000000000,6432.000000,IV,,,
16150.000000000000000,7215.000000,IV,,,
16250.000000000000000,6617.000000,IV,,,
16350.000000000000000,6132.000000,IV,,,
16450.000000000000000,5547.500000,IV,,,
16550.000000000000000,5561.000000,IV,,,
16650.000000000000000,5354.500000,IV,,,
16750.000000000000000,5526.000000,V,,,
